tiktok link,video views,comments,likes,video caption / description,video duration,shares,bookmarks / saves,sound link,video id,total followers,date posted,time posted,caption length,total hashtags,generic hashtags,unique hashtags,unique generic ratio,likes views ratio,log video views,days since start
https://www.tiktok.com/@1stvows/video/7332181429389937966,616,4,45,Call it a dramatic and elaborate response to a bad dream.  #fyp #film #filmtok #songs #songwriting #covers ,53,0,8,https://www.tiktok.com/music/original-sound-7332181685196950314,7332181429389937966,4887.0,2024-02-05,1089,57,6,1,5,0.8333333333333334,0.073051948051948,6.424869023905388,31
https://www.tiktok.com/@1stvows/video/7330325457390587182,516,2,23,"Storytime.  I dont know if you have tiktok, but thanks for joining me on this one, Ross.  #fyp #music #guitar #guitarpedals #1stvows ",87,2,4,https://www.tiktok.com/music/original-sound-7330325694171646762,7330325457390587182,4887.0,2024-01-31,1087,88,5,3,2,0.4,0.0445736434108527,6.248042874508429,26
https://www.tiktok.com/@1stvows/video/7328457739393305899,451,2,26,My new EP is out. You can find it on your favorite listening platform. Enjoy.  . . . . . . #moog #music #newmusic #newmusicfriday #1stvows ,24,1,1,https://www.tiktok.com/music/original-sound-7328457791168547630,7328457739393305899,4887.0,2024-01-26,1039,90,5,2,3,0.6,0.0576496674057649,6.113682179832232,21
https://www.tiktok.com/@1stvows/video/7327029409280658734,530,3,27,Suit. ,21,2,1,https://www.tiktok.com/music/original-sound-7327029498308823851,7327029409280658734,4887.0,2024-01-22,1256,5,0,0,0,0.5,0.0509433962264151,6.274762021241939,17
https://www.tiktok.com/@1stvows/video/7326980983163686190,481,3,28,New EP this Friday.  FEEL IN THE BLANKS.  . . . . . . . #moog #sequentialcircuits #echofix #1stvows #music #songsyouforgotabout #fyp #synth #recordingstudio #feelintheblanks ,23,2,3,https://www.tiktok.com/music/original-sound-7326981146779274030,7326980983163686190,4887.0,2024-01-22,1068,55,10,2,8,0.8,0.0582120582120582,6.1779441140506,17
https://www.tiktok.com/@1stvows/video/7325873726631775531,1920,0,30,“Clean Up Good” Live at Spooked Horse Ranch is now on YouTube  Filmed & Colored by Dan Agre  Mixed by Warren Trunz Big thanks to @moogsynthesizers @sequential_llc @echofixaustralia @meris.us . . . . . . #moog #sequentialcircuits #echofix #jeffbuckley #1stvows #synthesizer #music,24,2,1,https://www.tiktok.com/music/original-sound-7325873912183753514,7325873726631775531,4887.0,2024-01-19,1092,202,7,1,6,0.8571428571428571,0.015625,7.560601162768557,14
https://www.tiktok.com/@1stvows/video/7323270145986596138,850,2,11,New song. Big promo. Lets go. ,9,0,0,https://www.tiktok.com/music/original-sound-7323270202672597803,7323270145986596138,4887.0,2024-01-12,1068,29,0,0,0,0.5,0.0129411764705882,6.746412128573375,7
https://www.tiktok.com/@1stvows/video/7322905313114361131,566,2,27,"Thank you so much for all the love on this. New single tomorrow, and in case you missed it, our live version of “Everybody Here Wants You” is available on all listening services.  . . . . . . . #moog #sequentialcircuits #echofix #jeffbuckley #1stvows #cover #coversong #synthesizer #coversongs #music #fypシ #fypage #fyp ",37,0,3,https://www.tiktok.com/music/original-sound-7322905360270904106,7322905313114361131,4887.0,2024-01-11,1092,193,13,3,10,0.7692307692307693,0.0477031802120141,6.340359303727752,6
https://www.tiktok.com/@1stvows/video/7321793295821114666,397,5,20,Good news if you enjoyed this…it’ll be 1 of 5 songs on an EP I have coming out on 1/26.  More good news…I have a new song from that EP (not live and not a cover this time) coming out this Friday.  You can pre-save that now.  . . . #moog #sequentialcircuits #meris #echofix #cover #coversong #fyp #1stvows #jeffbuckley #coversongs ,32,0,3,https://www.tiktok.com/music/original-sound-7321793395263900459,7321793295821114666,4887.0,2024-01-08,1097,230,10,1,9,0.9,0.0503778337531486,5.986452005284438,3
https://www.tiktok.com/@1stvows/video/7320709123186707758,604,0,29,“Everybody Here Wants You” Live at Spooked Horse Ranch is now on YouTube (link in story & bio) Filmed & Colored by Dan Agre  Mixed by Warren Trunz  . . . . . #moog #sequentialcircuits #meris #echofix #cover #coversong #fyp #coversongs #jeffbuckley #synthesizer #1stvows #ryanhunter @Moog Music @,32,2,1,https://www.tiktok.com/music/original-sound-7320709260390714155,7320709123186707758,4887.0,2024-01-05,1210,157,12,1,11,0.9166666666666666,0.0480132450331125,6.405228458030842,0
https://www.tiktok.com/@altbloom/video/7395595711649353006,535,8,52,Hey fam 👋,25,0,3,https://www.tiktok.com/music/original-sound-7395595687935445803,7395595711649353006,58700.0,2024-07-25,928,9,0,0,0,0.5,0.0971962616822429,6.284134161070802,391
https://www.tiktok.com/@altbloom/video/7395297921492585770,761,11,112,Welcome to the family,24,3,12,https://www.tiktok.com/music/Waste-More-Time-Alt-Bloom-7369248717108562734,7395297921492585770,58700.0,2024-07-24,1213,21,0,0,0,0.5,0.1471747700394218,6.635946555686647,390
https://www.tiktok.com/@altbloom/video/7394509611379838250,279,4,40,Looking for you 🫶👋,31,1,0,https://www.tiktok.com/music/original-sound-7394509599878957870,7394509611379838250,58700.0,2024-07-22,1034,18,0,0,0,0.5,0.1433691756272401,5.634789603169249,388
https://www.tiktok.com/@altbloom/video/7394101775088749854,365,1,41,Afternoons in DC ,25,0,6,https://www.tiktok.com/music/original-sound-7394101767820086046,7394101775088749854,58700.0,2024-07-21,891,16,0,0,0,0.5,0.1123287671232876,5.902633333401366,387
https://www.tiktok.com/@altbloom/video/7393795895529147678,535,5,65,Where are your favorite streets ? 🏎️,28,6,2,https://www.tiktok.com/music/original-sound-7393795899551484702,7393795895529147678,58700.0,2024-07-20,1144,36,0,0,0,0.5,0.1214953271028037,6.284134161070802,386
https://www.tiktok.com/@altbloom/video/7393469332900138271,691,5,91,Love playing this every night of tour 🫶,58,0,5,https://www.tiktok.com/music/original-sound-7393469322876488478,7393469332900138271,58700.0,2024-07-19,1317,39,0,0,0,0.5,0.1316931982633864,6.539585955617669,385
